media_ID,media_type,media_title,runtime,average_rating
tt0160498,movie,Luminarias,100,8
tt0166695,movie,Luminous Motion,91,7.4
tt0246765,movie,Lumumba,115,6.8
tt0159175,tvSeries,Rupan sansei,23,8.9
tt0159192,tvSeries,Rupan sansei: Part II,30,8.6
tt0039589,movie,Lured,102,7.8
tt0122161,movie,Lured Innocence,99,7.1
tt0197646,movie,Lush,93,6.1
tt0089523,movie,Lust in the Dust,84,6.5
tt0325761,movie,Luster,92,7.5
tt0070346,movie,Luther,112,9.8
tt0022100,movie,M - Eine Stadt sucht einen MÃ¶rder,117,7
tt0043766,movie,M,88,4.2
tt0196106,movie,MVP: Most Valuable Primate,93,5.1
tt0116950,movie,Maachis,160,5.1
tt0113725,movie,Maboroshi no hikari,110,5.6
tt0399990,tvSeries,Maburaho,25,6.7
tt0104783,movie,Mac,117,7.1
tt0095560,movie,Mac and Me,99,5.7
tt0076342,movie,MacArthur,130,7.1
tt0270487,movie,MacArthur Park,86,6.8
tt0006995,movie,Macbeth,80,7.1
tt0067372,movie,The Tragedy of Macbeth,140,5.8
tt3233718,movie,National Theatre Live: Macbeth,140,7.3
tt0064615,movie,Mackennas Gold,128,7.5
tt0119592,movie,Mad City,114,6.8
tt0116953,movie,Mad Dog Time,93,7.3
tt0107473,movie,Mad Dog and Glory,97,6.3
tt0438205,movie,Mad Hot Ballroom,105,6.8
tt0012645,movie,Sappho,82,5.6
tt0026663,movie,Mad Love,68,7.4
tt0270480,movie,Juana la Loca,115,6.8
tt4019142,movie,Fou damour,107,5.7
tt0079501,movie,Mad Max,88,5.2
tt0089530,movie,Mad Max Beyond Thunderdome,107,6.6
tt0061931,movie,Mad Monster Party?,94,7.6
tt0107474,movie,MÃ¢dadayo,134,7.6
tt0025442,movie,Madame Bovary,101,7.9
tt0064713,movie,Die nackte Bovary,91,6.9
tt0005682,movie,Madame Butterfly,61,6.5
tt0048330,movie,Madama Butterfly,114,6.8
tt2027459,tvSeries,ChÃ´ chÃ´ san,73,7
tt0073330,movie,Made,101,7
tt0127013,movie,Made Men,102,6.5
tt0031602,movie,Made for Each Other,92,6.6
tt0107478,movie,Made in America,111,6.7
tt0115257,tvSeries,Madeline,30,7
tt0060648,movie,Mademoiselle,105,7.4
tt0071790,movie,Madhouse,92,6
tt0093468,movie,There Was a Little Girl,92,5.8
tt0063256,movie,Madigan,101,7.2
tt0108845,tvSeries,Madison,30,5.1
tt0077886,movie,Madman,95,5.7
tt0102370,movie,Madonna: Truth or Dare,120,5.9
tt0220627,movie,MaelstrÃ¶m,87,4.7
tt0120741,movie,Jane Austens Mafia!,87,7.2
tt0396735,movie,Moh waan chue fong,105,7.7
tt0112057,tvSeries,Magic Knight Rayearth,20,7.4
tt0113737,movie,Magic in the Water,98,5.5
tt0398412,tvSeries,Abenobashi mahÃ´ shÃ´tengai,24,6.4
tt0175880,movie,Magnolia,188,8.2
tt0070355,movie,Magnum Force,124,8.5
tt0140347,movie,Mahalia Jackson: The Power and the Glory,90,8.2
tt0134806,movie,Maid in Manhattan,75,8.2
tt0093476,movie,Maid to Order,93,8.3
tt0058318,movie,Mail Order Bride,83,7.2
tt0377088,movie,Mail Order Wife,92,9.4
tt0347473,movie,Main Hoon Na,182,7.1
tt0110438,movie,Main Khiladi Tu Anari,175,5.5
tt0265148,movie,Main Prem Ki Diwani Hoon,197,8.4
tt0100095,movie,Maine Pyar Kiya,192,5.5
tt0059418,movie,Major Dundee,123,7.2
tt0097815,movie,Major League,107,6.6
tt0110442,movie,Major League II,105,5.8
tt0110443,movie,Major Payne,95,7.3
tt0172761,movie,Major Saab,165,6.7
tt0038718,movie,Make Mine Music,75,6.6
tt0093477,movie,Making Mr. Right,98,7
tt0083445,tvSeries,Making the Grade,30,9.6
tt0068903,movie,Malcolm X,91,8.7
tt0010418,movie,Male and Female,116,8
tt0087659,movie,Macho y hembra,90,3.3
tt0213847,movie,MalÃ¨na,108,5.2
tt0113747,movie,Malevolence,96,6.6
tt0289589,movie,Malevolent,95,8.9
tt0379363,movie,Malibu Spring Break,77,7.7
tt0328099,movie,Malibus Most Wanted,86,7.2
tt0107497,movie,Malice,107,6
tt5886714,movie,MalÃ­cia,88,6.2
tt0113749,movie,Mallrats,94,8.7
tt0322650,movie,Mama Africa: Growing Up Urban,78,7.4
tt1543029,movie,Mama Africa,90,4.7
tt0330602,movie,Mambo Italiano,88,7.3
tt0056215,movie,Mamma Roma,106,5.9
tt0103905,movie,Cest arrivÃ© prÃ¨s de chez vous,95,8.5
tt0021114,movie,Man Trouble,85,6.9
tt0025456,movie,Man of Aran,76,7.7
tt0068909,movie,Man of La Mancha,132,7
tt0075902,movie,Czlowiek z marmuru,165,7.2
tt0138537,movie,Man of the Century,77,7.3
tt0028391,movie,TÃ´chÃ»ken Kumoemon,73,7.8
tt0113755,movie,Man of the House,96,7.5
tt0113756,movie,Man of the Year,86,6.1
tt0050682,movie,Man on Fire,95,4.8
tt0125664,movie,Man on the Moon,118,7.8
tt0301414,movie,Lhomme du train,90,5.3
tt1646922,movie,Man on the Train,100,5.7
tt0365478,movie,Man with the Screaming Brain,90,9
tt0107504,movie,Mans Best Friend,87,2.8
tt0855327,tvSeries,Chung muk ching yuen,60,8.3
tt0290747,movie,Man-Thing,106,8.1
tt0467468,movie,Mana: Beyond Belief,92,6.1
tt0119608,movie,Mandragora,126,7.4
tt0304377,movie,Mango Kiss,84,6.9
tt0355740,movie,Mango Souffle,90,5.8
tt0333074,movie,Amarelo Manga,103,7.1
tt0015117,movie,Manhattan,70,5.8
tt0107507,movie,Manhattan Murder Mystery,104,7.5
tt0316219,movie,Manhood,82,6.2
tt0091474,movie,Manhunter,120,6.4
tt0095583,movie,Maniac Cop,85,7.7
tt0252684,movie,Manic,100,5.8
tt0298050,movie,Manito,78,5.2
tt0248169,movie,Manna from Heaven,119,8.2
tt0017117,movie,Mannequin,70,5.2
tt0146429,movie,Lamour Ã  la bouche,85,6.6
tt0116985,movie,Manny & Lo,88,5.7
tt10213380,movie,Malmkrog,201,5.9
tt0178737,movie,Mansfield Park,112,6.4
tt0104810,movie,Manufacturing Consent: Noam Chomsky and the Media,167,6.4
tt0104812,movie,Map of the Human Heart,109,7.2
tt0074860,movie,Marathon Man,125,6.6
tt0119614,movie,"Marcello Mastroianni: mi ricordo, sÃ¬, io mi ricordo",198,7.3
tt0266747,movie,Marci X,84,6.4
tt0390221,movie,Maria Full of Grace,101,6.4
tt0087682,movie,Marias Lovers,109,5.8
tt1988715,movie,Marilyn Manson: Fear of a Satanic Planet,86,6.4
tt0329355,movie,Marion Bridge,90,5.3
tt0051911,movie,Marjorie Morningstar,128,2.3
tt0065491,movie,Hexen bis aufs Blut gequÃ¤lt,97,4.2
tt7263040,movie,La Marca del Demonio,82,6
tt0085905,movie,Marlene,94,5.5
tt0268443,movie,Marlene Dietrich: Her Own Song,100,7.2
tt0058329,movie,Marnie,130,7
tt0064639,movie,Marooned,134,5.5
tt0317226,movie,Gomgashtei dar Aragh,100,5.9
tt0062870,movie,Marquis de Sade: Justine,90,6.5
tt0075893,movie,Cruel Passion,99,7.2
tt0315930,movie,Gyeolhoneun michinjishida,103,6.3
tt0107523,movie,Married to It,112,8
tt0095593,movie,Married to the Mob,104,7.8
tt0116996,movie,Mars Attacks!,106,6.7
tt0061957,movie,Martha,93,6.8
tt0288480,movie,Chuet sik san tau,86,6.5
tt0077914,movie,Martin,95,5.9
tt0283469,movie,Martin & Orloff,87,6.4
tt0327036,movie,Martin Lawrence Live: Runteldat,113,8.4
tt0111804,movie,Martin Lawrence: You So Crazy,84,7.9
tt0048356,movie,Marty,90,7.9
tt0116999,movie,Marvins Room,98,7.2
tt0021128,movie,Mary,78,6.1
tt0058331,movie,Mary Poppins,139,7.8
tt0117002,movie,Mary Reilly,108,7.4
tt0184719,movie,Maryam,87,7
tt0229564,movie,Maslin Beach,80,7.1
tt0059433,movie,Masquerade,102,6.8
tt0067405,movie,Maskarada,86,5.1
tt2290840,movie,"Gwang-hae, wang-i doin nam-ja",131,8.6
tt0214931,movie,Mast,153,5.5
tt0311113,movie,Master and Commander: The Far Side of the World,138,7.9
tt11950968,movie,Master of Disaster,79,8.3
tt0072913,movie,Du bi quan wang da po xue di zi,93,6.9
tt0093507,movie,Masters of the Universe,106,7.3
tt0406977,movie,Masti,166,7.3
tt0325805,movie,Matchstick Men,116,5
tt0093509,movie,Matewan,135,5.4
tt0093512,movie,Maurice,140,5.1
tt0050037,tvSeries,Maverick,60,7.2
tt5024820,movie,Cai niao,114,8.5
tt0110479,movie,Max,94,6.1
tt0085919,movie,Max Dugan Returns,98,7.7
tt0273799,movie,Max Keebles Big Move,86,9.3
tt0091499,movie,Maximum Overdrive,98,7.7
tt0117011,movie,Maximum Risk,101,6.8
tt0345636,movie,Maximum Velocity,93,5.5
tt0303361,movie,May,93,6.6
tt0041646,movie,Maya,78,7.2
tt0133295,tvSeries,Mitsubachi MÃ¢ya no bÃ´ken,30,8.4
tt0110480,movie,Maya Lin: A Strong Clear Vision,105,7.8
tt0206926,movie,Maybe Baby,104,7.6
tt0230512,movie,Mayor of the Sunset Strip,94,8.7
tt0246072,movie,Maze,97,9.5
tt12025940,tvSeries,MÃª cung,45,7.9
tt0067411,movie,McCabe & Mrs. Miller,120,8
tt0055689,tvSeries,McHales Navy,30,8.1
tt0458425,movie,McLibel,85,7.5
tt0071824,movie,McQ,111,8.1
tt0055159,movie,Me,97,8.3
tt0796239,movie,Yo,100,7.2
tt0274652,movie,Me & Mrs. Jones,99,7
tt0183503,movie,Me Myself I,104,3.7
tt0263725,movie,Me Without You,107,6.3
tt0244504,movie,Eu Tu Eles,104,9
tt0415978,movie,Me and You and Everyone We Know,91,8.5
tt0377091,movie,Mean Creek,90,7.3
tt0377092,movie,Mean Girls,97,4.6
tt0119642,movie,Mean Guns,104,6.9
tt0291341,movie,Mean Machine,99,5.6
tt0070379,movie,Mean Streets,112,7.9
tt0293731,tvSeries,Medabots,30,8
tt0066065,movie,Medea,118,7.5
tt0104839,movie,Medicine Man,106,5.2
tt0064652,movie,Medium Cool,111,5.2
tt0119643,movie,Meet Joe Black,178,6.7
tt0033891,movie,Meet John Doe,135,7.9
tt0037059,movie,Meet Me in St. Louis,113,8.6
tt0119644,movie,Meet Wally Sparks,105,2.8
tt1047494,movie,Meet the Browns,100,5.9
tt0097858,movie,Meet the Feebles,97,7.2
tt0290002,movie,Meet the Fockers,115,7.2
tt0104844,movie,Meet the Parents,75,7.1
tt0263728,movie,Megiddo: The Omega Code 2,104,6.9
