media_ID,genre
tt0330151,"Drama,Family,Fantasy"
tt0330151,"Drama,Family,Fantasy"
tt0345037,"Drama,Family,Fantasy"
tt0345037,"Drama,Family,Fantasy"
tt0345037,"Drama,Family,Fantasy"
tt0345039,"Drama,Family,Fantasy"
tt0345039,"Drama,Family,Fantasy"
tt0345039,"Drama,Family,Fantasy"
tt0428362,"Drama,Short"
tt0428362,"Drama,Short"
tt0428362,"Drama,Short"
tt0443734,"Comedy,Fantasy"
tt0443734,"Comedy,Fantasy"
tt0443734,"Comedy,Fantasy"
tt0452599,"Animation,Drama,Fantasy"
tt0452599,"Animation,Drama,Fantasy"
tt0452599,"Animation,Drama,Fantasy"
tt0495818,"Animation,Drama,Family"
tt0495818,"Animation,Drama,Family"
tt0495818,"Animation,Drama,Family"
tt0674235,Drama
tt0674235,Drama
tt0674235,Drama
tt0716814,Drama
tt0716814,Drama
tt0716814,Drama
tt0783106,Comedy
tt0783106,Comedy
tt0783106,Comedy
tt0884793,"Animation,Drama,Family"
tt0884793,"Animation,Drama,Family"
tt0884793,"Animation,Drama,Family"
tt10476682,"Drama,Fantasy,Music"
tt10476682,"Drama,Fantasy,Music"
tt10476682,"Drama,Fantasy,Music"
tt1067106,"Animation,Drama,Family"
tt1067106,"Animation,Drama,Family"
tt1067106,"Animation,Drama,Family"
tt10778144,Comedy
tt10778144,Comedy
tt10778144,Comedy
tt11536760,Musical
tt11536760,Musical
tt11536760,Musical
tt13053652,
tt13053652,
tt13053652,
tt13569424,Family
tt13569424,Family
tt13569424,Family
tt13571948,Drama
tt13571948,Drama
tt13571948,Drama
tt13698834,Drama
tt13698834,Drama
tt13698834,Drama
tt1672218,"Adventure,Drama,Family"
tt1672218,"Adventure,Drama,Family"
tt1672218,"Adventure,Drama,Family"
tt1799654,"Comedy,Short"
tt1799654,"Comedy,Short"
tt1799654,"Comedy,Short"
tt2104836,Musical
tt2104836,Musical
tt2104836,Musical
tt2131447,Musical
tt2131447,Musical
tt2131447,Musical
tt2294459,Drama
tt2294459,Drama
tt2294459,Drama
tt2339331,"Drama,Short"
tt2339331,"Drama,Short"
tt2339331,"Drama,Short"
tt2374725,
tt2374725,
tt2374725,
tt2559946,"Adventure,Animation,Comedy"
tt2559946,"Adventure,Animation,Comedy"
tt2559946,"Adventure,Animation,Comedy"
tt4387314,Fantasy
tt4387314,Fantasy
tt4387314,Fantasy
tt4591688,"Music,Short"
tt4591688,"Music,Short"
tt4591688,"Music,Short"
tt4776578,"Drama,Family,Fantasy"
tt4776578,"Drama,Family,Fantasy"
tt4776578,"Drama,Family,Fantasy"
tt5289192,Comedy
tt5289192,Comedy
tt5289192,Comedy
tt5289670,"Documentary,Short"
tt5289670,"Documentary,Short"
tt5289670,"Documentary,Short"
tt6253814,"Drama,Musical"
tt6253814,"Drama,Musical"
tt6253814,"Drama,Musical"
tt7686464,"Drama,Fantasy"
tt7686464,"Drama,Fantasy"
tt7686464,"Drama,Fantasy"
tt7789164,"Drama,Short"
tt7789164,"Drama,Short"
tt7789164,"Drama,Short"
tt7820614,Fantasy
tt7820614,Fantasy
tt7820614,Fantasy
tt8232648,Drama
tt8232648,Drama
tt8232648,Drama
tt9136058,"Animation,Drama"
tt9136058,"Animation,Drama"
tt9136058,"Animation,Drama"
tt9387380,"Drama,Family,Musical"
tt9387380,"Drama,Family,Musical"
tt9387380,"Drama,Family,Musical"
tt9416854,Animation
tt9416854,Animation
tt9416854,Animation
tt0085334,"Comedy,Family"
tt0247247,"Drama,Short"
tt0521841,"Comedy,Drama,Family"
tt0529459,Western
tt0545051,"Comedy,Crime,Drama"
tt0571455,"Comedy,Family"
tt0577267,"Comedy,Drama,Family"
tt0593211,"Comedy,Family"
tt0618082,"Comedy,Family"
tt0672912,"Comedy,Family"
tt0787533,Comedy
tt11311458,Comedy
tt1230119,Animation
tt12670576,Comedy
tt2549092,"Comedy,Short"
tt3040792,"Animation,Comedy,Short"
tt3361132,"Comedy,Family,Romance"
tt5140288,Comedy
tt9356998,"Comedy,Short"
tt0356470,"Comedy,Family,Romance"
tt1159052,"Crime,Documentary"
tt2055449,"Comedy,Crime,Drama"
tt0120633,Drama
tt0066921,"Crime,Drama,Sci-Fi"
tt3040814,"Animation,Comedy,Short"
tt0118018,"Comedy,Romance"
tt0061523,"Comedy,Romance"
tt0225442,"Crime,Drama"
tt0349277,"Crime,Drama,Mystery"
tt5521696,Documentary
tt0094924,"Biography,Drama"
tt0099327,"Action,Adventure,Thriller"
tt0099356,"Adventure,Biography,Drama"
tt0193862,Short
tt0377744,"Comedy,Drama,Fantasy"
tt0028772,"Comedy,Musical,Sport"
tt1033254,"Crime,Documentary"
tt1681318,Documentary
tt0342275,Documentary
tt0069958,Drama
tt0731995,"Drama,Family,Fantasy"
tt0760623,Drama
tt0326828,"Drama,Romance,Thriller"
tt0365125,Comedy
tt0026285,Drama
tt0026285,Drama
tt0052745,"Drama,Family"
tt0052745,"Drama,Family"
tt0160216,"Drama,Family"
tt0160216,"Drama,Family"
tt0168334,"Animation,Drama,Family"
tt0168334,"Animation,Drama,Family"
tt0007867,Drama
tt0009020,Drama
tt0013076,Drama
tt0069987,Drama
tt0069988,Drama
tt0097222,Drama
tt0101750,Drama
tt0233596,"Drama,Short"
tt8681590,Drama
tt0039335,"Crime,Drama,Film-Noir"
tt0047694,Drama
tt0077462,"Action,Adventure,Crime"
tt0708231,"Crime,Drama,Mystery"
tt0714696,Adventure
tt1254488,Drama
tt8803990,"Action,Animation,Drama"
tt0050371,"Drama,Music"
tt0350908,Drama
tt0522381,"Crime,Drama"
tt0028850,Comedy
tt0087963,"Comedy,Drama"
tt0136864,Adult
tt0136865,"Adult,Drama"
tt0215411,
tt0288520,"Comedy,Romance"
tt0524153,Drama
tt0543865,Drama
tt0571456,"Comedy,Family"
tt0582733,"Horror,Thriller"
tt0587631,"Comedy,Fantasy"
tt0598770,"Comedy,Crime,Drama"
tt0618986,"Crime,Drama,Mystery"
tt0680286,"Crime,Drama"
tt0700771,"Comedy,Family"
tt0733091,Drama
tt0738926,"Comedy,Family"
tt0742603,Comedy
tt0751442,"Action,Adventure,Drama"
tt0787713,Documentary
tt10135142,"Crime,Documentary"
tt10404524,
tt10581890,Comedy
tt10589740,"Action,Game-Show,Reality-TV"
tt1084524,"Animation,Comedy"
tt13705490,"Crime,Drama,Mystery"
tt14404932,"Reality-TV,Romance"
tt1563072,Documentary
tt1624585,"History,Reality-TV"
tt1825641,"Comedy,Short"
tt2007855,"Crime,Drama,Mystery"
tt2180877,"Crime,Drama,Mystery"
tt2204587,"Adventure,Crime,Reality-TV"
tt4137808,"Biography,Documentary,Family"
tt4352562,"Game-Show,Reality-TV"
tt4653186,Documentary
tt5970100,"Game-Show,Reality-TV"
tt6036626,"Comedy,Crime"
tt6286498,"Action,Animation,Comedy"
tt6441864,Drama
tt7789838,Reality-TV
tt8342784,"Comedy,Crime,Mystery"
tt8908460,"Drama,Music,Musical"
tt8996368,"Comedy,Drama,Romance"
tt0116275,"Comedy,Drama"
tt0783520,Music
tt1127256,"Comedy,Drama,Romance"
tt0106868,"Adventure,Drama,Family"
tt0022879,"Drama,Romance,War"
tt0022879,"Drama,Romance,War"
tt0050379,"Drama,Romance,War"
tt0050379,"Drama,Romance,War"
tt0397787,Drama
tt0397787,Drama
tt2005609,"Animation,Comedy,Sci-Fi"
tt2005609,"Animation,Comedy,Sci-Fi"
tt7065940,"Action,Animation,Fantasy"
tt7065940,"Action,Animation,Fantasy"
tt0104257,"Drama,Thriller"
tt0747536,"Drama,Sport"
tt0849162,"Comedy,Family"
tt13160756,"Documentary,Reality-TV"
tt1593604,"Drama,Fantasy,Horror"
tt7435758,"Comedy,Drama,Fantasy"
tt0095159,"Comedy,Crime"
tt0096989,"Comedy,Drama"
tt0058461,"Action,Drama,Western"
tt10435740,"Comedy,Drama"
tt2739024,Reality-TV
tt0098185,"Comedy,Drama"
tt0274506,"Comedy,Short"
tt0505239,"Crime,Drama"
tt0593902,Western
tt0705297,Comedy
tt13860500,Comedy
tt0079168,"Action,Crime,Drama"
tt0060438,"Comedy,Musical"
tt0260924,"Drama,Sport"
tt0249603,"Comedy,Drama,Romance"
tt0526687,"Drama,Romance"
tt0264648,Drama
tt0155723,Drama
tt0752312,"Romance,Western"
tt1000745,"Action,Adventure,Comedy"
tt13409146,"Crime,Drama,Mystery"
tt1540733,"Biography,Documentary,History"
tt5668586,"Crime,Drama,Fantasy"
tt0082053,"Comedy,Drama,Romance"
tt2180994,"Crime,Drama,Thriller"
tt3766974,Documentary
tt0203536,"Action,Comedy,Thriller"
tt0113198,"Adventure,Animation,Comedy"
tt12404298,Comedy
tt5308286,"Documentary,Short"
tt7316810,"Comedy,Fantasy"
tt0061736,"Comedy,Romance"
tt3679234,"Sci-Fi,Short"
tt0295289,"Comedy,Romance"
tt0092260,"Action,Comedy,Crime"
tt0059269,"Adventure,Drama"
tt0273359,"Documentary,History"
tt0994807,Documentary
tt0052896,"Comedy,Drama"
tt0202909,Documentary
tt3498054,"Action,Adventure,Drama"
tt6758532,Documentary
tt7036332,Drama
tt0359423,"Drama,Romance"
tt0073118,"Biography,Drama"
tt0107130,"Biography,Drama"
tt0210786,"Crime,Family"
tt0127624,"Adventure,Family"
tt0113538,"Adventure,Comedy,Family"
tt1644137,"Comedy,Fantasy"
tt0385813,"Drama,Thriller"
tt0049414,"Crime,Film-Noir,Mystery"
tt0049414,"Crime,Film-Noir,Mystery"
tt0102220,"Crime,Drama,Mystery"
tt0102220,"Crime,Drama,Mystery"
tt2332174,"Crime,Documentary"
tt2332174,"Crime,Documentary"
tt9162330,"Action,Adventure,Crime"
tt9162330,"Action,Adventure,Crime"
tt0183790,"Action,Adventure,Romance"
tt0036092,"Comedy,Romance,Western"
tt0104694,"Comedy,Drama,Sport"
tt0106055,"Comedy,Sport"
tt0347390,"Documentary,Sport"
tt1002945,"Comedy,Drama,Romance"
tt2184186,"Comedy,Game-Show,Sport"
tt0179940,Drama
tt0041587,"Drama,Romance"
tt0089478,Drama
tt0119533,Documentary
tt0119535,"Comedy,Crime,Fantasy"
tt9077260,Drama
tt0309799,"Action,Drama,War"
tt0470846,"Drama,War"
tt0736851,Comedy
tt0771945,"Action,Adventure,Family"
tt1046957,Drama
tt1482730,Documentary
tt6148362,"Action,Adventure,Animation"
tt8062578,"Action,Crime,Drama"
tt0256150,"Comedy,Drama,Family"
tt0008196,Drama
tt0073301,Drama
tt0090474,"Drama,Family"
tt0113670,"Drama,Family,Fantasy"
tt11414492,Drama
tt1492156,Drama
tt0079477,"Adventure,Comedy,Romance"
tt0186315,Adult
tt0584095,"Comedy,Drama,Family"
tt0588554,Comedy
tt0589705,"Comedy,Drama"
tt0655206,"Comedy,Family"
tt0831470,"Adventure,Animation,Comedy"
tt0875808,"Comedy,Family"
tt1136099,"Animation,Comedy,Drama"
tt2128290,Comedy
tt1155605,"Adventure,Animation,Comedy"
tt0391304,"Comedy,Drama,Romance"
tt0198668,"Biography,Drama,Romance"
tt0369672,Drama
tt0294279,Drama
tt0110399,"Action,Comedy,Crime"
tt0266465,"Action,Crime,Drama"
tt0203672,"Action,Adventure,Drama"
tt0066049,"Adventure,Drama,Western"
tt0743010,Western
tt0066050,Western
tt0049902,"Drama,Thriller,War"
tt0061138,"Drama,Romance"
tt0653710,Comedy
tt5700648,Drama
tt0060665,"Biography,Drama,History"
tt0095578,"Biography,Drama"
tt0107179,"Drama,Thriller"
tt0160513,Drama
tt3084570,Short
tt0087684,Drama
tt0574008,"Comedy,Drama"
tt0829232,
tt0051065,Drama
tt0217119,"Crime,Drama,Thriller"
tt0674763,"Comedy,Crime,Drama"
tt0696866,"Comedy,Drama"
tt1355602,"Comedy,Drama,Short"
tt8292000,Documentary
tt9252780,Documentary
tt0102443,"Drama,War"
tt0000966,"Drama,Fantasy,Romance"
tt0000966,"Drama,Fantasy,Romance"
tt0026714,"Comedy,Fantasy,Romance"
tt0026714,"Comedy,Fantasy,Romance"
tt0038738,Drama
tt0038738,Drama
tt0053261,"Animation,Comedy,Fantasy"
tt0053261,"Animation,Comedy,Fantasy"
tt0060694,Music
tt0060694,Music
tt0063297,"Comedy,Fantasy,Romance"
tt0063297,"Comedy,Fantasy,Romance"
tt0063298,"Comedy,Drama"
tt0063298,"Comedy,Drama"
tt0067428,Drama
tt0067428,Drama
tt0082746,Comedy
tt0082746,Comedy
tt0084328,"Comedy,Fantasy"
tt0084328,"Comedy,Fantasy"
tt0087719,"Comedy,Drama"
tt0087719,"Comedy,Drama"
tt0117043,"Comedy,Romance"
tt0117043,"Comedy,Romance"
tt0140379,"Comedy,Fantasy,Romance"
tt0140379,"Comedy,Fantasy,Romance"
tt0255374,"Comedy,Fantasy,Music"
tt0255374,"Comedy,Fantasy,Music"
tt0422748,Music
tt0422748,Music
tt0457415,"Comedy,Fantasy,Romance"
tt0457415,"Comedy,Fantasy,Romance"
tt0462425,"Comedy,Drama,Romance"
